ID,Name,City,Category,Ratings(5),Rating_count,Description,Address,Map-link,Review 1,Review 2,Review 3,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours
104,Basavaraj Durga Island,Honnavar,Island,4.2,39,"Basavaraj Durga Island is an island in the Arabian Sea near Honnavar. It is part of Honnavar Taluk in Karnataka State of India. The island has a total area of 19 hectares and an elevation of 45 to 50m. There are a number of fresh water wells. The island can be reached by boat, fishing trawlers or canoe (although canoe is not recommended for visitors) by a sail upstream on river sharavati. The island lies 4km from Honnavar, 3km from Sharavati Bay and just 1km from Mavinakurve village (an island which also has a beach), [1] and 700 meters from Taribagilu village, another beach island. The trip takes about 30 to 45 Minutes from Honnavar and 5 to 10 Minutes from Taribagilu village by sail. The landing place is at the southeastern part of the island, where there is an architectural entrance made by stones which was also the entrance to fort. The top of the island is a plateau covered with dry grass and trees that can be seen only at the sloping part of the island.","8C73+G6, Pavinakurva, Karnataka 581327","https://www.google.com/maps/place/Basavaraj+Durga+Island/@14.3138971,74.3991418,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbc3006ee3b70ad:0x705f56537256136!8m2!3d14.3138561!4d74.4019965!16s%2Fm%2F0j_5plk?entry=ttu",One of the famous tourist place around Honnavar. Many people visit here. Must see at least once. loved this place.,I call it the lonely island because of the way it stands out like a sore thumb. You can see this island at a distance when you are on the Sharavati bridge.,You cannot visit this without preplanning as it's not a tourist attraction or rather the government has failed to develop this like one. No standard ferry routes and not much is spoken about this island.,,,,,,,,,,,,,,
105,Bappanadu Durga Parameshwari Temple - Mulki,Mulki,Hindu temple,4.8,"5,269","Nestled in the Bappanadu village, roughly 28 kilometers from Mangalore, lies the colorful Bappanadu Durga Parameshwari Temple. This vibrant house of worship is dedicated to the Goddess Durga Parameshwari, but with a unique twist - the deity is worshipped in the form of a Linga, a symbolic representation of Lord Shiva. The temple's origin story is just as fascinating. Legend says a Muslim merchant named Bappa, encountering a divine vision during a storm on the Shambhavi River, was instructed to build this temple. The village's name itself, Bappanadu, reflects Bappa's contribution.  Celebrated for its annual Brahma Rathotsava festival in April and the enormous Bappanadu Dolu (drum), this temple offers a truly unique experience for visitors seeking a blend of serenity, history, and local legend.","Bappanadu guthu, Bappanaadu Temple Road, Bappanaadu Temple Rd, Mulki, Karnataka 574154","https://www.google.com/maps/place/Bappanadu+Sri+Durga+Parameshwari+Temple/@13.0950036,74.7835902,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcad57317bbbfb:0x29a6146d8aca3e5e!8m2!3d13.0950036!4d74.7861651!16s%2Fg%2F1ttyv5hx?entry=ttu","This colorful temple is situated in the town of Mulki about 30 kms from Udupi. Being away from the beaten track, the crowd is less here and the darshan is relatively much faster. Even for those who want to perform pooja it is not an effort and you can be on your way pretty soon. There are sufficient sheltered places to sit and relax or meditate. The area is clean and well maintained. The visit was one of satisfaction. The place is well connected by regular bus service to Udupi in addition to taxis.","This one of the famous temple situated at mulki Karnataka, India. Very beautifully built and resembles olden temple structure. Its spacious with positive vibes. We had visited at evening time and there was a musical prayers event going on Inside temple premises(Bhajans), with Indian musical instruments etc. A great place to visit and have darshan of goddess. Outside the temple there is a man with light chats/snacks which was very tasty. Do try once.","This is a Temple situated in the Mulki in Karnataka, it is around 30 kms from Udupi and it is on the way from Udupi to Mangalore .",Monday,6 AM to 9 PM,Tuesday,6 AM to 9 PM,Wednesday,6 AM to 9 PM,Thursday,6 AM to 9 PM,Friday,6 AM to 9 PM,Saturday,6 AM to 9 PM,Sunday,6 AM to 9 PM
106,Hire Basadi - Neminatha Swami Digambara,Karkala,Jain temple,4.7,32,"A roughly 250 kilometer drive from Bengaluru awaits you if you seek the architectural wonder of Hire Basadi, a Jain temple in Karkala, Karnataka. Renowned for its exquisite blend of Jain and Hindu styles, the temple is a prominent pilgrimage site for Jains and a captivating destination for any visitor.  Intricate carvings and woodwork adorn the structure, while the central sanctum houses a revered idol of Lord Neminatha, the 22nd Jain Tirthankara. Hire Basadi boasts a unique feature - an underground chamber believed to be a meditative retreat for Jain saints and a repository for sacred relics.","6X4P+FF7, Karkala, Karnataka 574104","https://www.google.com/maps/place/Hire+Basadi+-+Neminatha+Swami+Digambara/@13.2061651,74.9835973,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbb561439825631:0x281013e2b2e587ca!8m2!3d13.2061651!4d74.9861722!16s%2Fg%2F11b5pj86y3?entry=ttu",A hidden treasure for archaeologists. Located in calm and peaceful location,Nice temple complex with 9 temples. Temple closes before evening 6 PM. To visit reach early.,Beautiful place in karkala..a hidden gem under the foothill of a plateau..looking for calm and peace do visit this place.,,,,,,,,,,,,,,
107,Arisina Gundi Falls,Sampalli,Waterfalls,4.5,133,"Nestled deep within the Mookambika Wildlife Sanctuary, Arisina Gundi Falls, also known as Arasina Makki Falls, is a hidden gem near Agumbe. Reaching this cascading beauty requires a moderately challenging trek of over 2 kilometers, but the reward is a truly breathtaking sight.  Since the falls reside inside a protected area, securing permission from the local forest department is mandatory before embarking on your adventure.  The ideal time to visit Arisina Gundi Falls falls within the winter and summer seasons, allowing you to navigate the trails comfortably and enjoy the refreshing waters.  However, be prepared to encounter leeches in this lush environment.  With proper precautions and a sense of adventure, Arisina Gundi Falls promises an unforgettable experience.","VRHV+CCH, Sampalli, Karnataka 577452","https://google.com/maps/place/Arasinagundi+Falls/@13.8651632,74.8137944,13.09z/data=!4m14!1m7!3m6!1s0x3bbc7c699921bb65:0x632e832b35f82a3d!2sArasinagundi+Falls!8m2!3d13.8785709!4d74.843603!16s%2Fg%2F11c6mby4h7!3m5!1s0x3bbc7c699921bb65:0x632e832b35f82a3d!8m2!3d13.8785709!4d74.843603!16s%2Fg%2F11c6mby4h7?entry=ttu","Arishina Gundi Waterfalls is located inside the Mookambika Wildlife Sanctuary, which can only be reached by trekking for more than 2 KM . It comes under the restricted area of the sanctuary. Travellers have to seek special permission from the local forest department authorities for visiting this waterfall. Both summer and winter seasons are ideal months for visiting this waterfall.",Awesome experience to this beautiful and wonderful waterfalls. Love the trekking to this place. Amazing feeling after the trek and get inside waterfalls.,"Waterfalls is spectacular view. and fresh water. As Jan2016 is not rainy so it was easy to trek to this place, No slippery.",,,,,,,,,,,,,,
108,Barkana falls,Agumbe,Waterfalls,4.3,181,"The Barkana Falls are located between Agumbe and Shimoga and derive their name from ‘Barka’, the mouse deer, a shy creature that inhabits this particular region. The trek route runs through the dense rainforests of the Western Ghats. During monsoons, the regions start buzzing with life as new streams begin to emerge and the canopy of vegetation gets dense enough for any traveller to lose orientation. The best time to visit these falls are in the early days of winter.",Karnataka 577411,"https://www.google.com/maps/place/Barkana+falls/@13.4889619,75.0917972,12.71z/data=!4m6!3m5!1s0x3bbb6712fcbb69bd:0xcb1e6f3443641ddc!8m2!3d13.4881474!4d75.0935483!16s%2Fm%2F02pnvnv?entry=ttu","Beautiful place. It is 6km trek from malandur near agumbe on way to Narasimha Parvatha. We got to trek through diverse and thick rainforest of the western ghats. We directly reach the falls where it takes a dip of 600ft. All together wonderful experience of trek and nature beauty.
To get to this place have to take entry ticket from forest check post in malandur village.","Serene place where you will see on the way to Narashima parvatha trek when you start from Mallandur village. Trek route will be from Mallandur to Kiga.
This place is a cliff where the falls descends. You get to see a picturesque view of the agumbe ghats range.","It is peaceful place, water is clear, make sure you go to this place during season.
",,,,,,,,,,,,,,
109,Camp 21,Mangaluru,Camp,4,992,"Camp 21 is a fantastic Beach Getaway in the Picturesque Someshwara-Uchila Village of Mangalore, a quick 20 Mins. The Beach Serviced homes are located in a quaint little town of Someshwara that carries with it an idyllic charm with its swaying Palms, Casuarinas groves & the backwaters of the Mangrove estuary. The region has some of the finest beach stretches along the western coast.","Door no 8-131 C Near kote vishnumoorthy temple, battappady Someshwara uchila, Mangaluru, Karnataka 575023","https://www.google.com/maps/place/Camp+21/@12.7701883,74.8582472,17z/data=!3m1!4b1!4m10!3m9!1s0x3ba35d7408525c7d:0xdaf27b391e732783!5m3!1s2024-06-18!4m1!1i2!8m2!3d12.7701831!4d74.8608221!16s%2Fg%2F11f62v_h0n?entry=ttu",,,,,,,,,,,,,,,,,
110,RiverRoost Resorts,Mangaluru,Camp,4.2,1084,"Luxury riverside Resort in Mangalore, Karnataka. On the banks of Gurpura river, it makes a perfect getaway to relax & rejuvenate. We offer you a blend of village life with the luxuries of modern living. Guests can choose from Wood Cabins and dorms to Luxury Rooms. The resort has an outdoor Swimming Pool, a Conference room, mini gym, children's recreational area and many onsite activities. About 15 kms away from Mangalore city, the resort is set amidst coconut and areca plantations. Also near us is Pilikula Nisargadhama, an eco-educational and tourism park and the Pilikula Golf Club. Come enjoy our hospitality! And views that need no filter!","1-262/2-16, Sabarabail, Moodushedde, Mangaluru, Karnataka 575028","https://www.google.com/maps/place/RiverRoost+Resorts/@12.9352748,74.9029988,17z/data=!3m1!4b1!4m10!3m9!1s0x3ba3576d1ecbc7c1:0xe6ad02947cff1057!5m3!1s2024-06-18!4m1!1i2!8m2!3d12.9352696!4d74.9055737!16s%2Fg%2F12q4xd2dg?entry=ttu",,,,,,,,,,,,,,,,,
111,Sattva Camps and Cottages,Malpe,Camp,4.2,356,"Sattva Camps and Cottages is an accommodation option located in Malpe, Karnataka, India. There is not much descriptive information available online about the property, but based on its name, it can be inferred that it offers a combination of camping and cottage-style stays. This could be a good option for travelers who want to experience the outdoors but also appreciate the comfort of a private room. Malpe is a beautiful coastal town known for its beaches, fishing, and water sports. Staying at Sattva Camps and Cottages would allow you to be close to all of these activities.  Since it is located in Karnataka, you can also expect South Indian cuisine to be available nearby.","8PM5+XH Malpe, Karnataka","https://www.google.com/maps/place/Sattva+Camps+and+Cottages/@13.3349236,74.7063212,17z/data=!3m1!4b1!4m10!3m9!1s0x3bbcbbe5b77bf6bd:0xff2964b5124c0587!5m3!1s2024-06-18!4m1!1i2!8m2!3d13.3349184!4d74.7088961!16s%2Fg%2F11h6gv5w2x?entry=ttu",,,,,,,,,,,,,,,,,
112,Trophical beach villa and camping,Malpe,Camp,2.8,39,"Tropical Bay in Malpe could be the perfect destination for you, offering both beachside camping and a luxurious villa. Featuring a private beach area, Tropical Bay allows you to enjoy the tranquility of the Malpe coast right at your doorstep.  In the comfort of your villa, you can indulge in delicious in-room breakfast or fire up the barbecue for a beachside cookout. While detailed information regarding Tropical Bay is limited online, contacting the property directly through booking websites should provide a clearer picture of their offerings.  For a more rustic experience, consider His Grace Camping near Malpe Beach, which offers basic amenities but might not include private rooms.","7PW9+MX Udupi, Karnataka","https://www.google.com/maps/place/Koustba+beach+resorts+padukere/@13.2966686,74.7173401,17z/data=!3m1!4b1!4m10!3m9!1s0x3bbcbb24b53cf02b:0x3aca7852a8e63496!5m3!1s2024-06-18!4m1!1i2!8m2!3d13.2966634!4d74.719915!16s%2Fg%2F11rq0n46l_?entry=ttu",,,,,,,,,,,,,,,,,
113,Seethanadi Nature Camp,Hebri,Camp,4.4,446,"Located 40 km from Udupi, the Seethanadi Nature Camp in Hebri is certainly an escape from the maddening rush of daily life. Amidst refreshing greenery, this lovely camp takes you away from the furore of cities. Besides setting out on nature walks and admiring the marvels of nature, the camp organizes a number of activities for its guests. Head here for a hassle free vacation. This Nature camp is situated inside Someshwara Wildlife Sanctuary. This Sanctuary protects the last remaining low elevation rain forests in entire Western Ghats.","F2H9+WG Duddinajaddu, Karnataka","https://www.google.com/maps/place/Seethanadi+Nature+Camp/@13.4797996,75.0162523,17z/data=!3m1!4b1!4m10!3m9!1s0x3bbcbb83ada9b611:0xe68d6d4204d1a99f!5m3!1s2024-06-18!4m1!1i2!8m2!3d13.4797944!4d75.0188272!16s%2Fg%2F11dzdh6hj8?entry=ttu",,,,,,,,,,,,,,,,,
114,TentMonk Beach Stay & Resort Mangalore,Mangaluru,Camp,4.1,38,"TentMonk Beach Stay & Resort Mangalore offers a unique blend of affordability and relaxation by the beach. Located near Ullal in Mangalore, it's not right in the city center, but that translates to a quieter stay.  While the name might suggest tents, TentMonk Beach Stay & Resort actually offers cottages, making it a good option for those who enjoy the beach atmosphere but prefer a bit more comfort than traditional camping.  Reviews praise the property for its friendly staff, on-site restaurant with a dinner buffet, and even a game room for some indoor fun. If you're looking for a laid-back beach getaway at a reasonable price, TentMonk Beach Stay & Resort could be a strong contender.","Tentmonk, near uchila Beach end point, ullal, Mangaluru, Karnataka 575023","https://www.google.com/maps/place/TentMonk+Beach+Stay+%26+Resort+Mangalore/@12.7661927,74.8602376,17z/data=!3m1!4b1!4m10!3m9!1s0x3ba35db8aca041ed:0xbcaf29cb99a25a44!5m3!1s2024-06-18!4m1!1i2!8m2!3d12.7661875!4d74.8628125!16s%2Fg%2F11q9fqqznx?entry=ttu",,,,,,,,,,,,,,,,,
115,Bhagavathi Nature Camp,Kudremukh,Camp,4.6,466,"Nestled within the verdant embrace of Kudremukh National Park in Karnataka, Bhagavathi Nature Camp offers an idyllic escape for nature enthusiasts. This eco-friendly camp, situated near the banks of the Bhadra River, serves as a launchpad for exploring the park's rich biodiversity.  Trekkers can embark on various trails, while birdwatchers can delight in the symphony of avian calls echoing through the dense forests. The camp itself provides comfortable accommodation in tents or cottages, all thoughtfully furnished and well-maintained.  After a day of adventure, unwind under a blanket of stars by a crackling bonfire or relax in the watchtower, taking in the breathtaking views of the surrounding hills. With its focus on nature immersion and sustainable practices, Bhagavathi Nature Camp promises an unforgettable experience for those seeking a true connection with the wild.","Bhagavathi Nature Camp Rd, Karnataka 577142","https://www.google.com/maps/place/Bhagavathi+Nature+Camp/@13.199518,75.1931092,17z/data=!3m1!4b1!4m10!3m9!1s0x3bbb4dd60eea0c67:0x6acca88867a1501f!5m3!1s2024-06-18!4m1!1i2!8m2!3d13.1995128!4d75.1956841!16s%2Fg%2F1txy0s9d?entry=ttu",,,,,,,,,,,,,,,,,
116,Mundgod Tibetan Camp,Teginkoppa,Camp,4.4,940,"Immerse yourself in a unique cultural experience at the Doeguling Tibetan Settlement, also known as the Mundgod Tibetan Camp, located in Teginkoppa, Karnataka. Established in 1966, this vibrant community houses Tibetan refugees who have preserved their rich heritage in exile.  Explore the bustling marketplace filled with colorful prayer flags and traditional handicrafts.  Wander through the magnificent Ganden Jangchub Chöling Monastery, the second largest Tibetan settlement in India, and be captivated by its intricate architecture and serene atmosphere.  Learn about Tibetan Buddhism through cultural shows and interact with the welcoming locals who are happy to share their stories.  More than just a refugee camp, Mundgod Tibetan Camp offers a glimpse into a resilient culture and a chance to experience the spirit of Tibet amidst the scenic landscapes of Karnataka.","X2R2+HQ5, Lama Camp 1, Mundgod, Teginkoppa, Karnataka 581349","https://www.google.com/maps/place/Mundgod+Tibetan+Camp/@14.9913873,74.9993974,17z/data=!3m1!4b1!4m6!3m5!1s0x3bb93544b75f7bd7:0xa6b32bc722afe553!8m2!3d14.9913821!4d75.0019723!16s%2Fg%2F11l3glwwf8?entry=ttu",,,,,,,,,,,,,,,,,
117,Trek and Stay,Kundapura,Camp,4.8,118,"Nestled between the Western Ghats and the Arabian Sea, Kundapura is a treasure trove for adventure seekers and beach lovers alike. Image of Kundapura Karnataka beachOpens in a new window For the trekker in you, Kundapura serves as a gateway to the magnificent Kodachadri Hills. Lush greenery, cascading waterfalls, and breathtaking viewpoints await those who embark on this thrilling trek.  After conquering the trails, you can rest and recharge at cozy guesthouses or homestays located at the base of the hills. Kundapura also boasts pristine beaches like Kodi Beach, Maravanthe Beach, and Malpe Beach, each offering a slice of paradise. Imagine waking up to the gentle rhythm of waves, spending your days soaking up the sun on the golden sands, and indulging in fresh seafood delicacies. Numerous beach resorts and homestays cater to every taste and budget,  making your post-trek relaxation truly blissful.","VRJH+M5 Dali, Karnataka","https://www.google.com/maps/place/Trek+and+Stay/@13.8816888,74.825375,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbc7df6a7ad9a1f:0xd7e552555b5389d0!8m2!3d13.8816836!4d74.8279499!16s%2Fg%2F11q937z5c0?entry=ttu",,,,,,,,,,,,,,,,,
118,Lion Tailed Macaque Eco Park,Hanehalli,Park,4.3,143,"Venture into the lush forests of Hanehalli, Karnataka, and discover the Lion-Tailed Macaque Eco Park. Established with the purpose of conserving the endangered Lion-Tailed Macaque monkey, this park offers a unique opportunity to observe these primates in their natural habitat.  These playful creatures, known for their distinctive mane of hair around their face, are a fascinating sight to behold. The park provides walking trails that meander through the forest canopy, allowing visitors a glimpse into the lives of these monkeys. ","7M28+GGP, Hanehallikabbinahakkal, Karnataka 581384","https://www.google.com/maps/place/Lion+Tailed+Macaque+Eco+Park/@14.2513536,74.6637562,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbc16a1a968dfbb:0x8a850eb7f33474f3!8m2!3d14.2513484!4d74.6663311!16s%2Fg%2F11c2kkdpq0?entry=ttu",,,,,,,,,,,,,,,,,
119,Stella Mary’s Church,Malpe,Church,4.8,2034,"Beyond its role in conservation, the Lion-Tailed Macaque Eco Park also serves as an educational center.  Informational boards and guided tours (if available) shed light on the importance of protecting these endangered animals and their habitat.  If you're looking for a responsible eco-tourism destination that combines nature observation with education, the Lion-Tailed Macaque Eco Park is a worthwhile addition to your Karnataka itinerary.","SH 65, Kalmadi, Udupi, Karnataka 576108","https://www.google.com/maps/place/Stella+Mary%E2%80%99s+Church/@13.3483118,74.7159927,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbb89aa3ad0bb:0xbef28f4713008555!8m2!3d13.3483066!4d74.7185676!16s%2Fg%2F1tmphz50?entry=ttu",,,,,,,,,,,,,,,,,
120,"Our Lady of Fatima Church, Perampalli",Malpe,Church,4.7,610,"Our Lady of Fatima Church, Perampally is situated in Udupi district, a coastal district of Karnataka State. Surrounded by lush greenery, the Church is about 4 kilometres away from the District headquarters and seven kilometres away from the main city of Udupi. Parishioners of the Church at Perampally are basically agriculturists. Since cultivation and agricultural products are  the main source of their livelihood. Prior to becoming an independent Parish in the year 1958, Perampally was a part of Milagres Church, Kallianpur and later that of Kolalgiri Church jurisdictionally. The Catholic faithful living in and around Perampally had to take a lot of trouble to reach the Parish Church for their spiritual needs and to fulfil their obligations. During the rainy season the situation was bad because the low-lying area around used to get flooded thereby making the people quite difficult to get out of their houses. Under normal circumstances, they had to cross a river to reach the church. The threat or danger of getting drowned in the river was always there.","9Q89+PMH, Perampalli Nekkar Krishnadasa Marga, Udupi, Karnataka 576102","https://www.google.com/maps/place/Our+Lady+of+Fatima+Church,+Perampalli/@13.3668285,74.7666618,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbcb07467b4d7:0xff5b29ff3d687ab!8m2!3d13.3668233!4d74.7692367!16s%2Fg%2F1vljdsm3?entry=ttu",,,,,,,,,,,,,,,,,
121,Mother of Sorrows Church,Kapu,Church,4.6,311,"Steeped in religious history, Mother of Sorrows Church in Kapu, Karnataka awaits further exploration. Dedicated to the Virgin Mary under her sorrowful aspect, the church likely features poignant imagery depicting Mary's grief over Jesus's suffering. Given Karnataka's Catholic population, the church itself is probably Catholic.  However, specific details about its architectural style, history, and cultural significance within Kapu remain elusive online.  To delve deeper, consider contacting the church directly or reaching out to the local diocese for insights.","Mother of Sorrow's Church, Kapu, Brahmagiri, Udupi, Karnataka 576101","https://www.google.com/maps/place/Mother+of+Sorrows+Church/@13.3370987,74.7460557,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbb6ef5337f5b:0xaf054d409ad8091!8m2!3d13.3370935!4d74.7486306!16s%2Fg%2F1hdzm4z1h?entry=ttu",,,,,,,,,,,,,,,,,
122,"Milagres Catholic Cathedral, Kallianpur (Udupi Diocese)",Malpe,Church,4.7,273,"The Milagres Catholic Cathedral, also known as the Cathedral of Our Lady of Miracles, stands as a landmark in Kallianpur, Karnataka, not far from the coastal town of Malpe.  This impressive structure boasts a rich history, dating back to the 17th century when it was first established by Portuguese missionaries.  Originally a church, it was elevated to the status of a cathedral in 1995.  The Milagres Cathedral is known for its beautiful Indo-Portuguese architecture, a unique blend of European and Indian styles.  While details are scarce online, one can expect to find intricate carvings and possibly murals adorning the interior.  Dedicated to Our Lady of Miracles, the cathedral is a revered pilgrimage site for Catholics in the region.  If you're looking for a place steeped in history, cultural heritage, and religious significance, the Milagres Catholic Cathedral is definitely worth a visit during your trip to Malpe.","9PWM+MJ8, Post, behind Milagres College, Kalayanapura, Karnataka 576114","https://www.google.com/maps/place/Milagres+Catholic+Cathedral,+Kallianpur+(Udupi+Diocese)/@13.3956816,74.7335204,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbcffc5b1f62d:0x2f65e73f6faadfbc!8m2!3d13.3956764!4d74.7360953!16s%2Fm%2F0hgl33r?entry=ttu",,,,,,,,,,,,,,,,,
123,St. Sebastian Church Mangaluru,Mangaluru,Church,4.5,"2,454","Since Karnataka has a large Catholic population and the church is named after a saint, St. Sebastian Church is likely a Catholic denomination. The church's dedication is to Saint Sebastian, a Roman soldier martyred in the 3rd century for his Christian faith.  If you're visiting Mangaluru and interested in learning more about St. Sebastian Church, reaching out to the church itself, searching for local historical accounts, or contacting the local diocese or parish are all good options to glean a deeper understanding of this place of worship.","Mallikatte, Bendoor, Mangaluru, Karnataka 575002","https://www.google.com/maps/place/St.+Sebastian+Church+Mangaluru/@12.8764854,74.8550125,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba35a30a353d213:0xc48bcaa8f031873a!8m2!3d12.8764802!4d74.8575874!16s%2Fg%2F1pp2vb_f2?entry=ttu",,,,,,,,,,,,,,,,,
124,Infant Jesus Shrine,Mangaluru,Church,4.9,"3,123","The Infant Jesus Shrine in Bikarnakatte, Mangaluru, is a popular Catholic pilgrimage destination dedicated to the childhood of Jesus Christ. Built in 1996 by the Carmelite priests, the shrine has grown from a place of quiet devotion to a vibrant center of faith.  Every Thursday, devotees gather for prayers and celebrations, but the annual feast in January, which includes a nine-day novena, is the major draw, attracting thousands from across the region.  The shrine itself is known for its peaceful atmosphere and miraculous blessings received by those who pray there.  It serves as a beacon of hope and a symbol of Jesus's enduring love for all.","House No. # 3-13-1246, Carmel Hill, St. Joseph’s Monastery, Kulshekar Post, Mangaluru, Karnataka 575005","https://www.google.com/maps/place/Infant+Jesus+Shrine/@12.8822361,74.8664151,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba35a26bccd51cd:0x5781b5f12dfe056e!8m2!3d12.8822309!4d74.86899!16s%2Fg%2F11b6cs9m0r?entry=ttu",,,,,,,,,,,,,,,,,
125,Holy Cross Church,Mangaluru,Church,4.7,680,"The holy cross is the central symbol of Jesus's crucifixion and Christianity, suggesting this is a Catholic church. Holy Cross Church's size and location within Mangaluru are unknown. It could be a historical landmark, standing as a testament to the city's Catholic heritage, or a more contemporary house of worship serving the local community.","Kulshekar Church Rd, Kulashekara, Mangaluru, Karnataka 575005","https://www.google.com/maps/place/Holy+Cross+Church/@12.8823218,74.8277903,13z/data=!4m6!3m5!1s0x3ba3598e7c03c4df:0x1b7d8942d59fbeb7!8m2!3d12.8851779!4d74.8827963!16s%2Fm%2F0g9ztmg?entry=ttu",,,,,,,,,,,,,,,,,
126,"St. Lawrence Church, Bondel",Mangaluru,Church,4.5,1038,"St Lawrence Church, Bondel is one of the parishes of the Diocese of Mangalore. It is situated 8 kms away from the Heart of the City on the way to Bajpe Airport. It is a very beautiful place surrounded by Pacchanady, Moodushedde, Marakada, Kavoor and Padavinangadi villages. This parish was established on April 10 in the year 1923. Though it began like a mustard seed with few families today it is serving nearly 1000 families, having 27 wards. This Parish has received the service of 10 parish priests, more than 23 Assistant priests who were able and dynamic. Under their leadership the parish has grown in all the capacities. ","WV89+VJG, Airport Rd, Bondel, Mangaluru, Karnataka 575008","https://www.google.com/maps/place/St.+Lawrence+Church,+Bondel/@12.9171802,74.8664941,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba350a13025ca43:0xc352e0d804abdace!8m2!3d12.917175!4d74.869069!16s%2Fg%2F1tg59jr4?entry=ttu",,,,,,,,,,,,,,,,,
127,Ballalarayana Durga Fort,Chikmaglur,Fort,4.7,990,"Forts always have a mysterious aura surrounding them. Most of them are reminiscences of a rich bygone era. Every fort has a history associated with it. Now if a fort exists in the midst of dense forest and atop a hill in the beautiful Western Ghats, it is bound to be a place full of history and mystery. Ballalarayana Durga fort in the Chikmagalur district of Karnataka is one such amazing fort. This isolated fort can only be reached by trekking through the hilly forest region. It is situated in Bettabalige that stands in the midst of Chikmagalur’s Kottegehara village and the Kalasa temple-town. It is one of the few forts that can be found in the Western Ghats.","4CJ7+WWX, Madugundi, Karnataka 574228","https://www.google.com/maps/place/Ballalarayana+Durga+Fort/@13.1323733,75.4122816,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba4cb4fdfd342a9:0x6b2605e7d9c25bf6!8m2!3d13.1323681!4d75.4148565!16s%2Fg%2F11b7lpt6c4?entry=ttu",,,,,,,,,,,,,,,,,
128,Sadashivagada Fort,Karwar,Fort,4.1,591,"Nestled amidst the lush greenery of Uttara Kannada district in Karnataka, Sadashivagada Fort stands as a testament to a bygone era.  While its exact construction date is undetermined, historical records suggest it was built sometime in the 16th or 17th century.  The fort's strategic location overlooking the Arabian Sea and the strategically important Sharavathi River made it a vital defensive outpost for the ruling dynasties of the time.  The fort itself is believed to have been constructed using laterite stones and may have once housed a garrison of soldiers.  Today, the ruins of Sadashivagada Fort offer a glimpse into the region's military history and provide a scenic spot for exploration.  Be aware that the fort might be in a deteriorated state, so proper footwear and caution are advised if you plan to visit.","R4WJ+HR4, Sadashivgad, Karwar, Karnataka 581352","https://www.google.com/maps/place/Sadashivagada+Fort/@14.8464048,74.1294924,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe5e02775f921f:0x3e44a1aae1842ac7!8m2!3d14.8463996!4d74.1320673!16s%2Fg%2F11cl_3zqh7?entry=ttu",,,,,,,,,,,,,,,,,
129,Bankapur fort,Bankapura,Fort,4.4,18,"Rising majestically in the town of Bankapura, Karnataka, Bankapur Fort is a captivating historical landmark.  While the exact date of construction is undetermined, estimates place it around the 16th or 17th century.  The fort's imposing structure, built with massive granite stones, served as a crucial defense point for the ruling dynasties of the era.  Encompassing a substantial area, the fort likely housed soldiers, storehouses, and other essential buildings needed to sustain a garrison.  Today, the fort stands as a silent sentinel to the region's past.  Visitors can explore the ramparts, gateways, and ruins within the fort complex, offering a glimpse into a bygone era.  It's important to note that due to its age, the fort might be in a state of disrepair.  Proper footwear and caution are recommended if you plan to visit Bankapur Fort.","W7F2+7H6, Unnamed Road, Bankapura, Karnataka 581202","https://www.google.com/maps/place/Bankapur+fort/@14.9232848,75.2487034,17z/data=!4m15!1m8!3m7!1s0x3bb93f559bb7d929:0x6085f700e6953f31!2sBankapur+Fort,+Bankapura,+Karnataka+581202!3b1!8m2!3d14.92367!4d75.2522813!16s%2Fg%2F12hkrqp3t!3m5!1s0x3bb93f559a4a223f:0x103114e0efb35cee!8m2!3d14.9231611!4d75.2513909!16s%2Fg%2F11gdsz4fp_?entry=ttu",,,,,,,,,,,,,,,,,
